att_1,att_2,att_3,att_4,att_5,att_6,att_7,att_8,att_9,att_10,att_11,att_12,att_13,att_14,att_15,att_16,att_17,att_18,att_19,att_20,class
-0.172279,-0.247239,-0.36546,-0.018647,0.535702,-0.586304,-0.362991,-0.090811,0.065448,-0.057127,0.072876,0.528401,-0.025003,-0.139067,0.018068,-0.031013,-0.554044,0.196767,0.082442,0.426909,-1
-0.607931,-0.156942,-0.378586,-0.106305,0.263364,-0.005965,-0.768273,-0.110641,-0.02223,-0.049675,-0.224906,-0.036347,0.053681,-0.389107,0.082099,-0.162734,0.363323,0.054883,0.555858,-0.190915,-1
-0.612314,-0.103029,-0.4429,-0.06713,0.223927,-0.036645,-0.730243,-0.089407,-0.01841,-0.054688,-0.23628,0.046718,0.039251,-0.279421,0.119847,-0.116475,0.336707,-0.102246,0.350358,-0.169977,-1
-0.56708,0.039103,-0.658399,0.049293,-0.146227,-0.19036,-0.89545,0.083993,-0.020024,-0.227603,-0.074269,-0.139263,0.275556,0.155073,-0.180106,-0.141215,-0.638942,-0.296563,-0.021771,0.383648,-1
-0.56708,0.039103,-0.658399,0.049293,-0.146227,-0.19036,-0.89545,0.083993,-0.020024,-0.227603,-0.074269,-0.139263,0.275556,0.155073,-0.180106,-0.141215,-0.638942,-0.296563,-0.021771,0.383648,-1
-0.584784,-0.087835,-0.343203,-0.043968,0.17351,0.018234,-0.608302,0.028988,0.023537,-0.114128,-0.226604,0.038384,0.081739,-0.212856,0.032863,-0.144258,0.177561,-0.040224,0.407656,-0.129926,-1
-0.57556,-0.081189,-0.342956,-0.037963,0.199434,-0.01135,-0.612573,-0.008672,0.02339,-0.080765,-0.230674,0.036198,0.05708,-0.249444,0.054845,-0.144277,0.172335,-0.104731,0.38671,-0.117271,-1
-0.172456,-0.247878,-0.365535,-0.013979,0.533061,-0.586158,-0.36535,-0.086468,0.066394,-0.056527,0.072974,0.530136,-0.023588,-0.138121,0.019951,-0.034113,-0.563259,0.203155,0.090781,0.424987,-1
-0.115454,-0.201444,-0.313083,-0.015694,0.465235,-0.486979,-0.324608,-0.076983,0.15784,-0.024791,0.065051,0.474179,-0.005826,-0.163836,-0.004256,0.002018,-0.513378,0.144116,0.116853,0.408074,-1
-0.066579,-0.164906,-0.253485,-0.015605,0.403591,-0.38392,-0.288915,-0.062517,0.243402,-0.002541,0.067641,0.412484,-0.010751,-0.17045,-0.017896,0.00992,-0.489047,0.1005,0.157888,0.404885,-1
-0.347528,0.40306,-0.385618,-0.030087,-0.164184,-0.092374,-0.733891,0.042825,0.272102,-0.241682,-0.033829,0.00162,-0.024214,0.228975,-0.11497,-0.191113,-0.599212,-0.383568,0.128006,0.20074,-1
-0.500677,-0.001176,-0.720484,-0.007814,-0.216222,-0.157796,-0.929092,0.149031,0.010005,-0.242152,-0.170888,-0.123921,0.382781,0.188081,-0.1723,-0.125951,-0.642775,-0.25139,-0.000373,0.352023,-1
-0.62556,0.081704,-0.562841,0.102455,-0.08144,-0.193915,-0.833216,0.041598,-0.022239,-0.223969,0.028614,-0.162626,0.163279,0.098753,-0.173929,-0.158822,-0.617895,-0.317113,-0.027422,0.380196,-1
-0.518165,-0.087331,-0.416918,-0.044973,0.344267,-0.109113,-0.673803,-0.12854,0.044335,-0.085367,-0.166816,0.04937,0.02678,-0.253639,0.145287,-0.141061,0.307616,-0.178742,0.4302,-0.18619,-1
-0.576481,-0.130396,-0.496069,-0.090395,0.212395,-0.047719,-0.74918,-0.045094,-0.064262,-0.084419,-0.259525,0.079363,0.095055,-0.282701,0.143679,-0.211243,0.324533,-0.081956,0.276284,-0.235814,-1
-0.148304,-0.293656,-0.453416,-0.06177,0.458916,-0.570274,-0.415551,-0.080509,0.03486,-0.0381,0.048341,0.564404,0.017197,-0.173148,0.024819,-0.026603,-0.580631,0.237277,0.05292,0.460859,-1
-0.611101,-0.102419,-0.442295,-0.066619,0.223064,-0.032353,-0.730451,-0.087852,-0.015852,-0.057697,-0.237395,0.039371,0.035954,-0.278824,0.118437,-0.114344,0.329732,-0.105056,0.352825,-0.172115,-1
-0.650849,-0.273649,-0.168047,-0.29366,0.337931,0.157018,-0.672194,-0.156838,-0.020209,0.035085,-0.460507,-0.166229,0.08556,-0.349414,0.158936,-0.226152,0.572044,-0.049804,0.716929,-0.212305,-1
-0.571541,0.044804,-0.657914,0.03195,-0.152611,-0.187486,-0.828116,0.082904,-0.006465,-0.236306,-0.074809,-0.15015,0.252551,0.163492,-0.185577,-0.119681,-0.615761,-0.28627,-0.008193,0.346296,-1
-0.600156,-0.045064,-0.363023,0.000447,0.425839,-0.186551,-0.674727,-0.131167,0.163921,-0.05375,-0.123045,0.019446,-0.046571,-0.100043,0.117059,0.000459,0.341297,-0.200341,0.666791,-0.118586,-1
-0.627408,-0.1149,-0.493562,-0.081883,0.184987,0.028549,-0.791342,-0.157784,-0.067133,-0.008711,-0.241005,0.013117,0.041954,-0.362091,0.109776,-0.104122,0.414857,-0.097878,0.341862,-0.169784,-1
-0.441811,-0.099995,-0.2633,-0.02026,0.399503,-0.043693,-0.632573,-0.132567,0.055873,-0.06811,-0.177959,-0.038226,0.041039,-0.422698,0.101078,-0.171237,0.366859,0.050471,0.583312,-0.195407,-1
-0.641546,-0.26767,-0.1547,-0.288552,0.349028,0.144705,-0.663434,-0.150479,0.018605,0.026293,-0.434387,-0.165829,0.07506,-0.353384,0.170395,-0.231714,0.572488,-0.042926,0.760305,-0.223506,-1
-0.3546,0.231171,-0.660556,-0.049779,-0.361501,0.076973,-0.987157,0.072738,0.337847,-0.223998,-0.105873,0.047119,0.234157,0.107235,-0.119615,-0.380684,-0.690425,-0.24169,-0.010661,0.246141,-1
-0.632148,0.169733,-0.031067,0.160988,0.054623,-0.048697,-0.415243,0.180448,0.088474,-0.114437,-0.098559,-0.076674,0.121374,-0.028922,-0.114322,-0.14713,-0.537179,-0.136569,0.104249,0.227582,-1
-0.323408,-0.224649,-0.380532,-0.037751,0.49586,-0.57171,-0.424177,-0.126303,0.118702,0.009673,0.103393,0.543179,-0.082839,-0.071556,0.004213,0.101073,-0.56835,0.222336,0.191009,0.509801,-1
-0.327409,-0.264185,-0.412627,-0.054403,0.37491,-0.499355,-0.456869,-0.108284,0.036212,0.007789,0.056824,0.571051,-0.029976,-0.168199,0.036405,-0.024435,-0.641254,0.231412,0.153111,0.431327,-1
